对象ID,校区,业务,楼栋ID,楼栋名称,现网IP前缀,现网VLAN,现网SVI,目标IP前缀,目标VLAN,目标SVI,DHCP配置,端口编号,Trunk配置,认证方式,安全策略,路由所有权,IPv6配置,迁移批次,验证项,回退编号,证据来源,确认状态,责任人
IPAM-020,南校区,教师有线,0,综合楼,10.30.0.0/21,300,10.30.0.1,10.31.0.0/21,301,10.31.0.1,启用-DHCP服务器,Gi1/0/1-24,Trunk允许VLAN301,Portal,ACL-301,南校区核心,fd00:31::/64,1,连通性测试-DHCP分配测试,RB-020,现场配置文件,已核实,网络管理员
IPAM-021,南校区,教师无线,0,综合楼,10.30.8.0/21,302,10.30.8.1,10.32.0.0/21,302,10.32.0.1,启用-DHCP中继,Gi1/0/25-48,Trunk允许VLAN302,802.1X,ACL-302,南校区核心,fd00:32::/64,1,认证测试-漫游测试,RB-021,无线控制器配置,已核实,无线管理员
IPAM-022,南校区,学生有线,1,学生宿舍1栋,10.30.16.0/21,303,10.30.16.1,10.33.8.0/21,303,10.33.8.1,启用-DHCP服务器,Gi2/0/1-48,Trunk允许VLAN303,Portal,ACL-303,南校区核心,fd00:33::/64,2,连通性测试-带宽限制测试,RB-022,资产管理表,待确认,宿舍网络管理
IPAM-023,南校区,学生无线,1,学生宿舍1栋,10.30.24.0/21,304,10.30.24.1,10.34.8.0/21,304,10.34.8.1,启用-DHCP中继,Gi2/1/1-24,Trunk允许VLAN304,Portal,ACL-304,南校区核心,fd00:34::/64,2,认证测试-并发连接测试,RB-023,无线控制器配置,待确认,无线管理员
IPAM-024,南校区,访客无线,0,综合楼,10.30.32.0/21,307,10.30.32.1,10.37.0.0/21,307,10.37.0.1,启用-DHCP服务器,Gi1/0/25-48,Trunk允许VLAN307,None,ACL-307隔离,南校区核心,无,3,隔离测试-互联网访问测试,RB-024,安全策略文档,已核实,安全管理员
IPAM-025,南校区,设备管理,0,综合楼,10.30.40.0/21,308,10.30.40.1,10.38.0.0/21,308,10.38.0.1,禁用-静态IP,Gi1/0/1-12,Access VLAN308,None,ACL-308管理,南校区核心,fd00:38::/64,1,SSH访问测试-SNMP测试,RB-025,设备清单,已核实,网络管理员
IPAM-026,南校区,互联网出口,99,核心机房,10.30.248.0/24,399,10.30.248.1,10.36.248.0/24,366,10.36.248.1,禁用-静态IP,Gi0/0/1-2,Trunk允许所有VLAN,None,ACL-399边界,南校区核心,fd00:99::/64,5,边界路由测试-NAT测试,RB-026,ISP配置文档,已批准,网络主管
IPAM-027,服务器区,Web服务器,0,数据中心,10.40.0.0/24,400,10.40.0.1,10.41.0.0/24,401,10.41.0.1,禁用-静态IP,Gi1/0/1-12,Access VLAN401,None,ACL-401服务器,服务器区核心,fd00:41::/64,4,HTTP/HTTPS测试-负载均衡测试,RB-027,服务器清单,已批准,系统管理员
IPAM-028,服务器区,数据库服务器,0,数据中心,10.40.1.0/24,400,10.40.0.1,10.41.1.0/24,401,10.41.0.1,禁用-静态IP,Gi1/0/13-24,Access VLAN401,None,ACL-402数据库,服务器区核心,fd00:41::/64,4,数据库连接测试-备份测试,RB-028,服务器清单,已批准,数据库管理员
IPAM-029,服务器区,应用服务器,0,数据中心,10.40.2.0/24,400,10.40.0.1,10.41.2.0/24,401,10.41.0.1,禁用-静态IP,Gi2/0/1-12,Access VLAN401,None,ACL-401服务器,服务器区核心,fd00:41::/64,4,应用服务测试-API测试,RB-029,服务器清单,已批准,系统管理员
IPAM-030,服务器区,存储服务器,0,数据中心,10.40.3.0/24,400,10.40.0.1,10.41.3.0/24,401,10.41.0.1,禁用-静态IP,Gi2/0/13-24,Access VLAN401,None,ACL-403存储,服务器区核心,fd00:41::/64,4,存储性能测试-冗余测试,RB-030,服务器清单,已批准,存储管理员
IPAM-031,物联网区,监控摄像头,0,全校区,10.90.0.0/21,900,10.90.0.1,10.91.0.0/21,901,10.91.0.1,启用-DHCP服务器,Gi1/0/1-48,Trunk允许VLAN901,None,ACL-901 IoT隔离,物联网区核心,fd00:91::/64,3,视频流测试-存储测试,RB-031,监控设备清单,待确认,监控管理员
IPAM-032,物联网区,门禁系统,0,全校区,10.90.8.0/21,900,10.90.0.1,10.91.8.0/21,901,10.91.0.1,启用-DHCP服务器,Gi2/0/1-24,Trunk允许VLAN901,None,ACL-902门禁,物联网区核心,fd00:91::/64,3,门禁联动测试-日志测试,RB-032,门禁设备清单,待确认,安防管理员
IPAM-033,物联网区,环境监测,0,全校区,10.90.16.0/21,900,10.90.0.1,10.91.16.0/21,901,10.91.0.1,启用-DHCP服务器,Gi2/0/25-48,Trunk允许VLAN901,None,ACL-903传感器,物联网区核心,fd00:91::/64,3,数据采集测试-告警测试,RB-033,传感器清单,待确认,设施管理员
IPAM-034,东校区,教师有线,4,图书馆,10.10.72.0/21,100,10.10.0.1,10.11.32.0/21,101,10.11.0.1,启用-DHCP服务器,Gi5/0/1-48,Trunk允许VLAN101,Portal,ACL-101,东校区核心,fd00:11::/64,1,连通性测试-DHCP分配测试,RB-034,图书馆配置文件,已核实,图书馆IT
IPAM-035,东校区,学生有线,4,图书馆,10.10.80.0/21,103,10.10.16.1,10.13.32.0/21,103,10.13.8.1,启用-DHCP服务器,Gi5/1/1-48,Trunk允许VLAN103,Portal,ACL-103,东校区核心,fd00:13::/64,2,连通性测试-并发用户测试,RB-035,图书馆配置文件,已核实,图书馆IT
IPAM-036,西校区,教师有线,3,实训中心,10.20.64.0/21,200,10.20.0.1,10.21.24.0/21,201,10.21.0.1,启用-DHCP服务器,Gi5/0/1-48,Trunk允许VLAN201,Portal,ACL-201,西校区核心,fd00:21::/64,1,连通性测试-实训设备测试,RB-036,实训中心配置,已核实,实训管理
IPAM-037,西校区,学生有线,3,实训中心,10.20.72.0/21,203,10.20.16.1,10.23.24.0/21,203,10.23.8.1,启用-DHCP服务器,Gi5/1/1-48,Trunk允许VLAN203,Portal,ACL-203,西校区核心,fd00:23::/64,2,连通性测试-实训环境测试,RB-037,实训中心配置,待确认,实训管理
IPAM-038,南校区,教师有线,2,科研楼,10.30.32.0/21,300,10.30.0.1,10.31.16.0/21,301,10.31.0.1,启用-DHCP服务器,Gi3/0/1-48,Trunk允许VLAN301,802.1X,ACL-301,南校区核心,fd00:31::/64,1,连通性测试-科研网络测试,RB-038,科研楼配置,已核实,科研管理
IPAM-039,东校区,学生有线,5,学生宿舍2栋,10.10.88.0/21,103,10.10.16.1,10.13.40.0/21,103,10.13.8.1,启用-DHCP服务器,Gi6/0/1-48,Trunk允许VLAN103,Portal,ACL-103,东校区核心,fd00:13::/64,2,连通性测试-带宽限制测试,RB-039,资产管理表,待确认,宿舍网络管理
IPAM-040,东校区,学生无线,5,学生宿舍2栋,10.10.96.0/21,104,10.10.24.1,10.14.40.0/21,104,10.14.8.1,启用-DHCP中继,Gi6/1/1-24,Trunk允许VLAN104,Portal,ACL-104,东校区核心,fd00:14::/64,2,认证测试-漫游测试,RB-040,无线控制器配置,待确认,无线管理员
IPAM-041,西校区,学生有线,4,学生宿舍C栋,10.20.80.0/21,203,10.20.16.1,10.23.32.0/21,203,10.23.8.1,启用-DHCP服务器,Gi6/0/1-48,Trunk允许VLAN203,Portal,ACL-203,西校区核心,fd00:23::/64,2,连通性测试-带宽限制测试,RB-041,资产管理表,待确认,宿舍网络管理
IPAM-042,西校区,学生无线,4,学生宿舍C栋,10.20.88.0/21,204,10.20.24.1,10.24.32.0/21,204,10.24.8.1,启用-DHCP中继,Gi6/1/1-24,Trunk允许VLAN204,Portal,ACL-204,西校区核心,fd00:24::/64,2,认证测试-漫游测试,RB-042,无线控制器配置,待确认,无线管理员
IPAM-043,南校区,学生有线,2,学生宿舍2栋,10.30.40.0/21,303,10.30.16.1,10.33.16.0/21,303,10.33.8.1,启用-DHCP服务器,Gi3/0/1-48,Trunk允许VLAN303,Portal,ACL-303,南校区核心,fd00:33::/64,2,连通性测试-带宽限制测试,RB-043,资产管理表,待确认,宿舍网络管理
IPAM-044,南校区,学生无线,2,学生宿舍2栋,10.30.48.0/21,304,10.30.24.1,10.34.16.0/21,304,10.34.8.1,启用-DHCP中继,Gi3/1/1-24,Trunk允许VLAN304,Portal,ACL-304,南校区核心,fd00:34::/64,2,认证测试-漫游测试,RB-044,无线控制器配置,待确认,无线管理员
IPAM-045,东校区,教师无线,6,体育馆,10.10.104.0/21,102,10.10.8.1,10.12.48.0/21,102,10.12.0.1,启用-DHCP中继,Gi7/0/1-24,Trunk允许VLAN102,802.1X,ACL-102,东校区核心,fd00:12::/64,3,认证测试-高密度连接测试,RB-045,体育馆配置,待确认,场馆管理
IPAM-046,东校区,访客无线,6,体育馆,10.10.112.0/21,107,10.10.32.1,10.17.48.0/21,107,10.17.0.1,启用-DHCP服务器,Gi7/0/25-48,Trunk允许VLAN107,None,ACL-107隔离,东校区核心,无,3,隔离测试-高并发测试,RB-046,体育馆配置,待确认,场馆管理
IPAM-047,西校区,教师无线,5,体育中心,10.20.96.0/21,202,10.20.8.1,10.22.40.0/21,202,10.22.0.1,启用-DHCP中继,Gi7/0/1-24,Trunk允许VLAN202,802.1X,ACL-202,西校区核心,fd00:22::/64,3,认证测试-高密度连接测试,RB-047,体育中心配置,待确认,场馆管理
IPAM-048,南校区,教师无线,3,会议中心,10.30.56.0/21,302,10.30.8.1,10.32.24.0/21,302,10.32.0.1,启用-DHCP中继,Gi4/0/1-24,Trunk允许VLAN302,802.1X,ACL-302,南校区核心,fd00:32::/64,3,认证测试-会议场景测试,RB-048,会议中心配置,待确认,会议管理
IPAM-049,物联网区,智能照明,0,全校区,10.90.24.0/21,900,10.90.0.1,10.91.24.0/21,901,10.91.0.1,启用-DHCP服务器,Gi3/0/1-48,Trunk允许VLAN901,None,ACL-904照明,物联网区核心,fd00:91::/64,3,控制测试-节能测试,RB-049,照明系统清单,待确认,设施管理员
IPAM-050,物联网区,消防系统,0,全校区,10.90.32.0/21,900,10.90.0.1,10.91.32.0/21,901,10.91.0.1,启用-DHCP服务器,Gi4/0/1-24,Trunk允许VLAN901,None,ACL-905消防,物联网区核心,fd00:91::/64,4,联动测试-告警测试,RB-050,消防设备清单,已批准,消防管理员
